t x y
10.950000 18.054008 5.448269
10.975000 18.190284 5.395862
11.000000 18.328019 5.344383
11.025000 18.467221 5.293817
11.050000 18.607900 5.244154
11.075000 18.750067 5.195381
11.100000 18.893731 5.147486
11.125000 19.038904 5.100458
11.150000 19.185594 5.054286
11.175000 19.333814 5.008958
11.200000 19.483573 4.964463
11.225000 19.634882 4.920791
11.250000 19.787753 4.877931
11.275000 19.942195 4.835873
11.300000 20.098220 4.794607
11.325000 20.255838 4.754124
11.350000 20.415062 4.714413
11.375000 20.575903 4.675466
11.400000 20.738371 4.637273
11.425000 20.902478 4.599825
11.450000 21.068237 4.563113
11.475000 21.235657 4.527130
11.500000 21.404753 4.491865
11.525000 21.575534 4.457313
11.550000 21.748013 4.423464
11.575000 21.922203 4.390310
11.600000 22.098114 4.357845
11.625000 22.275760 4.326061
11.650000 22.455153 4.294950
11.675000 22.636305 4.264506
11.700000 22.819228 4.234723
11.725000 23.003936 4.205592
11.750000 23.190440 4.177109
11.775000 23.378753 4.149266
11.800000 23.568888 4.122059
11.825000 23.760859 4.095480
11.850000 23.954677 4.069525
11.875000 24.150356 4.044188
11.900000 24.347909 4.019463
11.925000 24.547348 3.995347
11.950000 24.748688 3.971833
11.975000 24.951941 3.948918
12.000000 25.157120 3.926596
12.025000 25.364240 3.904864
12.050000 25.573312 3.883717
12.075000 25.784352 3.863151
12.100000 25.997371 3.843163
12.125000 26.212384 3.823749
12.150000 26.429405 3.804906
12.175000 26.648446 3.786631
12.200000 26.869522 3.768920
12.225000 27.092646 3.751772
12.250000 27.317832 3.735182
12.275000 27.545094 3.719150
12.300000 27.774445 3.703672
12.325000 28.005899 3.688748
12.350000 28.239470 3.674374
12.375000 28.475172 3.660550
12.400000 28.713018 3.647274
12.425000 28.953022 3.634545
12.450000 29.195198 3.622362
12.475000 29.439560 3.610724
12.500000 29.686122 3.599631
12.525000 29.934896 3.589082
12.550000 30.185898 3.579078
12.575000 30.439140 3.569618
12.600000 30.694636 3.560703
12.625000 30.952400 3.552333
12.650000 31.212445 3.544510
12.675000 31.474785 3.537234
12.700000 31.739432 3.530506
12.725000 32.006401 3.524328
12.750000 32.275705 3.518702
12.775000 32.547356 3.513630
12.800000 32.821368 3.509114
12.825000 33.097753 3.505157
12.850000 33.376525 3.501761
12.875000 33.657696 3.498930
12.900000 33.941278 3.496667
12.925000 34.227284 3.494975
12.950000 34.515727 3.493859
12.975000 34.806617 3.493323
13.000000 35.099967 3.493371
13.025000 35.395789 3.494009
13.050000 35.694094 3.495240
13.075000 35.994893 3.497072
13.100000 36.298198 3.499510
13.125000 36.604018 3.502560
13.150000 36.912365 3.506228
13.175000 37.223248 3.510522
13.200000 37.536678 3.515448
13.225000 37.852663 3.521015
13.250000 38.171214 3.527231
13.275000 38.492339 3.534104
13.300000 38.816046 3.541642
13.325000 39.142344 3.549856
13.350000 39.471240 3.558755
13.375000 39.802741 3.568349
13.400000 40.136855 3.578649
13.425000 40.473588 3.589667
13.450000 40.812944 3.601414
13.475000 41.154931 3.613901
13.500000 41.499552 3.627143
13.525000 41.846811 3.641152
13.550000 42.196713 3.655942
13.575000 42.549259 3.671528
13.600000 42.904452 3.687924
13.625000 43.262294 3.705147
13.650000 43.622785 3.723212
13.675000 43.985925 3.742138
13.700000 44.351714 3.761941
13.725000 44.720149 3.782640
13.750000 45.091228 3.804254
13.775000 45.464948 3.826804
13.800000 45.841304 3.850309
13.825000 46.220291 3.874793
13.850000 46.601902 3.900276
13.875000 46.986128 3.926782
13.900000 47.372963 3.954337
13.925000 47.762395 3.982964
13.950000 48.154412 4.012690
13.975000 48.549004 4.043543
14.000000 48.946154 4.075550
14.025000 49.345848 4.108742
14.050000 49.748070 4.143148
14.075000 50.152799 4.178800
14.100000 50.560017 4.215732
14.125000 50.969701 4.253977
14.150000 51.381827 4.293571
14.175000 51.796370 4.334552
14.200000 52.213302 4.376956
14.225000 52.632595 4.420825
14.250000 53.054215 4.466199
14.275000 53.478129 4.513122
14.300000 53.904301 4.561637
14.325000 54.332693 4.611792
14.350000 54.763263 4.663635
14.375000 55.195968 4.717215
14.400000 55.630760 4.772584
14.425000 56.067592 4.829796
14.450000 56.506410 4.888908
14.475000 56.947159 4.949976
14.500000 57.389782 5.013061
14.525000 57.834215 5.078227
14.550000 58.280394 5.145537
14.575000 58.728251 5.215059
14.600000 59.177711 5.286864
14.625000 59.628699 5.361024
14.650000 60.081134 5.437614
14.675000 60.534931 5.516713
14.700000 60.990002 5.598403
14.725000 61.446251 5.682766
14.750000 61.903580 5.769892
14.775000 62.361886 5.859871
14.800000 62.821060 5.952798
14.825000 63.280988 6.048769
14.850000 63.741551 6.147888
14.875000 64.202622 6.250259
14.900000 64.664071 6.355991
14.925000 65.125760 6.465199
14.950000 65.587545 6.577999
14.975000 66.049274 6.694514
15.000000 66.510792 6.814870
15.025000 66.971931 6.939199
15.050000 67.432521 7.067636
15.075000 67.892382 7.200321
15.100000 68.351325 7.337402
15.125000 68.809153 7.479028
15.150000 69.265663 7.625358
15.175000 69.720641 7.776551
15.200000 70.173864 7.932777
15.225000 70.625099 8.094209
15.250000 71.074106 8.261026
15.275000 71.520631 8.433414
15.300000 71.964414 8.611565
15.325000 72.405182 8.795676
15.350000 72.842650 8.985953
15.375000 73.276524 9.182606
15.400000 73.706498 9.385854
15.425000 74.132254 9.595921
15.450000 74.553461 9.813038
15.475000 74.969778 10.037445
15.500000 75.380848 10.269387
15.525000 75.786305 10.509115
15.550000 76.185767 10.756890
15.575000 76.578839 11.012977
15.600000 76.965115 11.277650
15.625000 77.344173 11.551189
15.650000 77.715577 11.833880
15.675000 78.078878 12.126017
15.700000 78.433613 12.427898
15.725000 78.779305 12.739830
15.750000 79.115463 13.062124
15.775000 79.441580 13.395095
15.800000 79.757138 13.739067
15.825000 80.061605 14.094364
15.850000 80.354433 14.461317
15.875000 80.635064 14.840258
15.900000 80.902924 15.231524
15.925000 81.157430 15.635451
15.950000 81.397984 16.052379
